indice,num_patrones_cargar,rango_fecha,numero_puntos,tamano_ventana,divisiones,numero_ventanas_exploradas,total_aceptados_findCommon,numero_encontrados_total,porcentaje_aceptacion_findCommon,porcentaje_aceptacion_tendency,tiempo
0,10,9 días (9),7,5,[1],60,59,0,98.3,0.0,11.13
1,10,17 días (17),12,5,[1],119,118,0,99.2,0.0,18.46
2,10,17 días (17),12,10,[1],60,60,1,100.0,1.7,8.88
3,10,1 meses y 4 días (34),22,5,[1],237,236,0,99.6,0.0,40.75
4,10,1 meses y 4 días (34),22,10,[1],120,120,2,100.0,1.7,16.06
5,10,1 meses y 4 días (34),22,10,"[1, 2]",123,123,2,100.0,1.6,15.88
6,10,1 meses y 4 días (34),22,20,[1],60,60,1,100.0,1.7,7.81
7,10,1 meses y 4 días (34),22,20,"[1, 2]",60,60,1,100.0,1.7,7.64
8,10,2 meses (60),42,5,[1],476,475,0,99.8,0.0,78.99
9,10,2 meses (60),42,10,[1],240,240,3,100.0,1.2,38.12
10,10,2 meses (60),42,10,"[1, 2]",253,253,3,100.0,1.2,41.2
11,10,2 meses (60),42,20,[1],120,120,3,100.0,2.5,20.81
12,10,2 meses (60),42,20,"[1, 2]",124,124,2,100.0,1.6,21.72
13,10,2 meses (60),42,40,[1],60,60,3,100.0,5.0,11.74
14,10,2 meses (60),42,40,"[1, 2]",60,60,3,100.0,5.0,11.54
15,10,5 meses y 8 días (158),109,5,[1],1240,1235,0,99.6,0.0,223.64
16,10,5 meses y 8 días (158),109,10,[1],600,600,0,100.0,0.0,100.14
17,10,5 meses y 8 días (158),109,10,"[1, 2]",695,695,1,100.0,0.1,117.78
18,10,5 meses y 8 días (158),109,20,[1],300,300,7,100.0,2.3,53.61
19,10,5 meses y 8 días (158),109,20,"[1, 2]",342,342,4,100.0,1.2,63.41
20,10,5 meses y 8 días (158),109,40,[1],120,120,8,100.0,6.7,23.04
21,10,5 meses y 8 días (158),109,40,"[1, 2]",150,150,6,100.0,4.0,28.92
